precio,aream2,toilets,garajes,estrato
650000000,122.0,4,2,6
385000000,114.0,2,0,4
310000000,96.0,3,1,4
580000000,102.0,3,2,5
190000000,72.0,2,1,4
188000000,65.3,2,1,5
160000000,49.0,2,1,5
750000000,160.0,4,2,6
185000000,60.0,2,0,4
210000000,54.0,2,0,4
390000000,8.0,3,1,5
165000000,42.0,1,1,4
110000000,50.0,1,0,3
280000000,100.0,3,1,5
255000000,76.0,2,1,4
146000000,51.0,1,0,2
600000000,96.0,4,1,6
510000000,110.0,3,2,4
225000000,60.0,1,1,3
165000000,60.0,2,0,4
450000000,82.0,2,1,5
145000000,55.0,2,0,2
140000000,65.0,2,1,4
640000000,139.0,3,2,6
410000000,79.0,3,1,4
250224075,75.0,2,0,4
237000000,73.0,2,1,4
175000000,61.0,2,1,3
160000000,58.0,2,1,4
311000000,87.0,2,2,5
140000000,50.0,2,1,5
350000000,87.0,2,1,5
113000000,45.0,2,0,2
550000000,74.0,2,1,6
590000000,120.0,3,2,6
420000000,76.0,2,2,5
179000000,60.0,2,1,4
270000000,69.0,2,0,4
311000000,87.0,2,2,5
210000000,79.0,2,0,4
163600000,56.0,2,1,4
